"","Program","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Fruit","Operation","Product Type","Product Details","Domain","Chemical_Info","Chemical_Product_Number","Value","CV (%)","Measurement","Acre_Info","Organic_Status","Fertilizer_Status"
"11","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"SUMTER",119,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"12","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"SUMTER",119,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"13","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"SUMTER",119,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,2,55.7,NA,NA,NA,NA
"14","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"SUMTER",119,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,2,52.7,NA,NA,NA,NA
"15","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"CONECUH",35,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,1,13.2,NA,NA,NA,NA
"16","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"CONECUH",35,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,1,15.7,NA,NA,NA,NA
"17","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"CONECUH",35,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,6,55.7,NA,NA,NA,NA
"18","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"CONECUH",35,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,6,52.7,NA,NA,NA,NA
"19","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"MOBILE",97,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"20","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"MOBILE",97,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"21","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"MOBILE",97,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,3,55.7,NA,NA,NA,NA
"22","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"MOBILE",97,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,3,52.7,NA,NA,NA,NA
"23","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"24","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"25","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"STRAWBERRIES","ACRES NON-BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"26","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,3,55.7,NA,NA,NA,NA
"27","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,3,52.7,NA,NA,NA,NA
"28","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL",NA,NA,1,47.6,NA,NA,NA,NA
"29","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CALHOUN",15,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"30","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CALHOUN",15,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"31","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CALHOUN",15,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,2,55.7,NA,NA,NA,NA
"32","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CALHOUN",15,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,2,52.7,NA,NA,NA,NA
"33","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE",29,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"34","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE",29,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"35","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE",29,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,4,55.7,NA,NA,NA,NA
"36","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE",29,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,4,52.7,NA,NA,NA,NA
"37","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,8,13.2,NA,NA,NA,NA
"38","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,9,15.7,NA,NA,NA,NA
"39","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"STRAWBERRIES","ACRES NON-BEARING",NA,NA,"TOTAL",NA,NA,1,99.5,NA,NA,NA,NA
"40","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,10,55.7,NA,NA,NA,NA
"41","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,11,52.7,NA,NA,NA,NA
"42","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL",NA,NA,3,47.6,NA,NA,NA,NA
"43","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"DE KALB",49,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,7,13.2,NA,NA,NA,NA
"44","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"DE KALB",49,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,7,15.7,NA,NA,NA,NA
"45","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"DE KALB",49,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,6,55.7,NA,NA,NA,NA
"46","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"DE KALB",49,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,6,52.7,NA,NA,NA,NA
"47","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"JACKSON",71,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,1,13.2,NA,NA,NA,NA
"48","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"JACKSON",71,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,1,15.7,NA,NA,NA,NA
"49","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"JACKSON",71,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,4,55.7,NA,NA,NA,NA
"50","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"JACKSON",71,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,4,52.7,NA,NA,NA,NA
"51","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"MARSHALL",95,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"52","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"MARSHALL",95,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"53","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"MARSHALL",95,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,2,55.7,NA,NA,NA,NA
"54","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"MARSHALL",95,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,2,52.7,NA,NA,NA,NA
"55","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR",115,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,10,13.2,NA,NA,NA,NA
"56","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR",115,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,10,15.7,NA,NA,NA,NA
"57","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR",115,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,8,55.7,NA,NA,NA,NA
"58","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR",115,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,8,52.7,NA,NA,NA,NA
"59","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LAUDERDALE",77,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"60","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LAUDERDALE",77,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"61","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LAUDERDALE",77,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,2,55.7,NA,NA,NA,NA
"62","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LAUDERDALE",77,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,2,52.7,NA,NA,NA,NA
"63","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LIMESTONE",83,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"64","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LIMESTONE",83,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"65","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LIMESTONE",83,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,1,0.05,NA,NA,NA,NA
"66","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"LIMESTONE",83,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,1,0.05,NA,NA,NA,NA
"67","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MADISON",89,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"68","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MADISON",89,"STRAWBERRIES","ACRES NON-BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"69","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MADISON",89,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,2,0.05,NA,NA,NA,NA
"70","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MADISON",89,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL",NA,NA,2,0.05,NA,NA,NA,NA
"71","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,2,13.2,NA,NA,NA,NA
"72","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,2,15.7,NA,NA,NA,NA
"73","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"STRAWBERRIES","ACRES NON-BEARING",NA,NA,"TOTAL",NA,NA,NA,99.5,NA,NA,NA,NA
"74","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,3,55.7,NA,NA,NA,NA
"75","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,6,52.7,NA,NA,NA,NA
"76","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MARION",93,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL",NA,NA,3,47.6,NA,NA,NA,NA
"77","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MORGAN",103,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,61,13.2,NA,NA,NA,NA
"78","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MORGAN",103,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,61,15.7,NA,NA,NA,NA
"79","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MORGAN",103,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,13,55.7,NA,NA,NA,NA
"80","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"NORTHERN VALLEY",10,"MORGAN",103,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,13,52.7,NA,NA,NA,NA
"81","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"BIBB",7,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"82","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"BIBB",7,"STRAWBERRIES","ACRES NON-BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"83","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"BIBB",7,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,1,52.7,NA,NA,NA,NA
"84","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"BIBB",7,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL",NA,NA,1,47.6,NA,NA,NA,NA
"85","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"86","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,16,15.7,NA,NA,NA,NA
"87","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"STRAWBERRIES","ACRES NON-BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"88","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,4,55.7,NA,NA,NA,NA
"89","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,4,52.7,NA,NA,NA,NA
"90","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CHILTON",21,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL",NA,NA,2,47.6,NA,NA,NA,NA
"91","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CLAY",27,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,8,13.2,NA,NA,NA,NA
"92","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CLAY",27,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,8,15.7,NA,NA,NA,NA
"93","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CLAY",27,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,8,55.7,NA,NA,NA,NA
"94","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"CLAY",27,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,8,52.7,NA,NA,NA,NA
"95","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"JEFFERSON",73,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,8,13.2,NA,NA,NA,NA
"96","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"JEFFERSON",73,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,8,15.7,NA,NA,NA,NA
"97","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"JEFFERSON",73,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,5,55.7,NA,NA,NA,NA
"98","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"JEFFERSON",73,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,5,52.7,NA,NA,NA,NA
"99","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"RANDOLPH",111,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,13.2,NA,NA,NA,NA
"100","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"RANDOLPH",111,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,NA,15.7,NA,NA,NA,NA
"101","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"RANDOLPH",111,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,4,55.7,NA,NA,NA,NA
"102","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"RANDOLPH",111,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,4,52.7,NA,NA,NA,NA
"103","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"104","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,3,15.7,NA,NA,NA,NA
"105","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"STRAWBERRIES","ACRES NON-BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"106","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,3,55.7,NA,NA,NA,NA
"107","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"STRAWBERRIES","OPERATIONS WITH AREA GROWN",NA,NA,"TOTAL",NA,NA,3,52.7,NA,NA,NA,NA
"108","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"SHELBY",117,"STRAWBERRIES","OPERATIONS WITH AREA NON-BEARING",NA,NA,"TOTAL",NA,NA,1,47.6,NA,NA,NA,NA
"109","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TALLADEGA",121,"STRAWBERRIES","ACRES BEARING",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"110","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TALLADEGA",121,"STRAWBERRIES","ACRES GROWN",NA,NA,"TOTAL",NA,NA,NA,NA,NA,NA,NA,NA
"111","CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"UPPER PLAINS & PIEDMONT",30,"TALLADEGA",121,"STRAWBERRIES","OPERATIONS WITH AREA BEARING",NA,NA,"TOTAL",NA,NA,1,0.05,NA,NA,NA,NA
